#{"t_start": 1770201107.09923, "env_id": "None"}
r,l,t
-48.801735,1,3.841989
-43.042848,1,3.843029
-30.860385,1,3.843029
-42.068231,1,3.843029
-26.031566,1,3.847018
-18.469458,1,3.848083
-23.322663,1,3.849083
-49.544163,1,3.851079
-8.934551,1,3.853037
-23.921509,1,3.856058
-39.935839,1,3.858035
-10.907322,1,3.861036
-23.319792,1,3.861036
-54.025389,1,3.861036
-41.371266,1,3.861036
-14.64272,1,3.871271
-29.997624,1,3.871271
-40.918492,1,3.874369
-9.417323,1,3.874369
-29.405426,1,3.874369
-15.342272,1,3.874369
-31.856361,1,3.874369
-41.788574,1,3.8815
-35.621907,1,3.8815
-17.010218,1,3.8815
-23.28544,1,3.8815
-40.264346,1,3.8815
-46.96395,1,3.8815
-33.107002,1,3.8919
-18.581376,1,3.8919
-40.98731,1,3.8919
-21.272389,1,3.8919
-7.045217,1,3.8919
-35.624798,1,3.8919
-41.701362,1,3.8919
-64.56288,1,3.8919
-36.18432,1,3.902248
-66.489064,1,3.902248
-38.593072,1,3.902248
-45.804207,1,3.902248
-30.636703,1,3.902248
-52.280126,1,3.902248
-33.232804,1,3.902248
-51.725449,1,3.902248
-14.22849,1,3.912733
-6.935154,1,3.912733
-41.93214,1,3.914751
-19.091762,1,3.916762
-32.155365,1,3.916762
-39.366145,1,3.91877
-33.544556,1,3.92078
-36.92866,1,3.92078
-42.218069,1,3.92279
-71.339335,1,3.9248
-25.762992,1,3.9248
-32.555475,1,3.926808
-59.9797,1,3.928816
-36.788161,1,3.928816
-14.591514,1,3.930824
-26.549546,1,3.934844
-18.083669,1,3.936853
-47.647497,1,3.940869
-34.708131,1,3.94382
-39.559686,1,3.947122
-12.116937,1,3.949127
-14.054941,1,3.951912
-40.039055,1,3.951912
-6.106015,1,3.957889
-40.555275,1,3.959955
-54.24378,1,3.962962
-14.726564,1,3.964952
-30.346826,1,3.968246
-40.876376,1,3.969287
-16.761379,1,3.97028
-24.375283,1,3.972283
-39.311399,1,3.972283
-45.108655,1,3.972283
-22.917294,1,3.972283
-28.234388,1,3.972283
-8.006766,1,3.972283
-46.021021,1,3.972283
-32.139102,1,3.972283
-40.750781,1,3.983531
-30.311006,1,3.983531
-39.365253,1,3.987551
-18.942267,1,3.989567
-35.46773,1,3.992762
-24.199605,1,3.992762
-41.532819,1,3.992762
-38.657959,1,3.992762
-36.218148,1,3.992762
-53.572245,1,3.992762
-43.87528,1,3.992762
-34.192567,1,3.992762
-9.265045,1,4.003315
-40.467014,1,4.003315
-24.020173,1,4.005336
-68.431754,1,4.007353
-16.709374,1,4.007353
-38.696535,1,4.009367
-36.37171,1,4.011381
-9.500676,1,4.011381
-48.109351,1,4.013397
-64.514049,1,4.013397
-38.380994,1,4.013397
-10.578033,1,4.013397
-25.210574,1,4.013397
-52.045042,1,4.013397
-9.120437,1,4.013397
-41.37337,1,4.024235
-8.368894,1,4.025603
-25.313269,1,4.027446
-34.364926,1,4.028611
-46.617508,1,4.029608
-55.986451,1,4.031609
-51.23784,1,4.032606
-27.601595,1,4.034483
-10.821819,1,4.034483
-16.989283,1,4.034483
-65.963472,1,4.034483
-33.991888,1,4.034483
-22.042713,1,4.034483
-41.773836,1,4.034483
-37.31757,1,4.043706
-26.30862,1,4.043706
-52.261281,1,4.043706
-64.915881,1,4.043706
-51.545597,1,4.043706
-65.807337,1,4.055157
-40.356887,1,4.056247
-51.768198,1,4.057419
-22.552524,1,4.059557
-49.183278,1,4.060555
-42.547658,1,4.062184
-40.922432,1,4.063189
-24.808112,1,4.063189
-38.294544,1,4.063189
-46.112645,1,4.063189
-36.922295,1,4.068977
-35.221086,1,4.071091
-44.996383,1,4.072096
-6.885664,1,4.073094
-22.692002,1,4.075109
-38.132774,1,4.076097
-18.790806,1,4.077309
-8.758133,1,4.079271
-25.662536,1,4.081261
-19.983218,1,4.083311
-65.226641,1,4.083311
-12.107454,1,4.083311
-35.106307,1,4.083311
-29.559344,1,4.083311
-29.469312,1,4.083311
-41.329401,1,4.083311
-28.297032,1,4.093639
-40.452306,1,4.094373
-10.90224,1,4.096387
-40.479734,1,4.096387
-35.646516,1,4.098399
-49.737154,1,4.100409
-10.687859,1,4.100409
-44.201184,1,4.102422
-12.992595,1,4.103933
-56.826592,1,4.103933
-22.047517,1,4.103933
-64.801387,1,4.103933
-30.054006,1,4.103933
-37.556211,1,4.103933
-41.214818,1,4.103933
-35.013484,1,4.103933
-38.362069,1,4.114395
-43.724174,1,4.116415
-27.745151,1,4.118427
-28.574612,1,4.118427
-42.20718,1,4.120435
-32.738161,1,4.122444
-19.905807,1,4.124452
-31.945879,1,4.124452
-42.665158,1,4.126463
-38.69334,1,4.128472
-15.764194,1,4.128472
-8.669415,1,4.13048
-37.933189,1,4.132491
-27.292665,1,4.132491
-14.47794,1,4.1345
-54.339039,1,4.1345
-5.640293,1,4.1345
-39.358521,1,4.1345
-33.108238,1,4.1345
-44.527573,1,4.1345
100.0,1,4.1345
-40.625946,1,4.145009
-41.916685,1,4.145009
-52.547512,1,4.145009
-31.791621,1,4.155494
